# non-physical-nouns.tsv
#
# 16958 single-word English common nouns for which NO sense in Open English
# WordNet 2024 inherits from `physical entity` or `thing`. Every sense of every
# lemma below traces upward to `abstraction`.
#
# Generated: 2026-08-20
#
# ---------------------------------------------------------------------------
# ATTRIBUTION (required — this file is a derivative work)
# ---------------------------------------------------------------------------
# Derived from Open English WordNet 2024
#   https://github.com/globalwordnet/english-wordnet
#   Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0)
#   https://creativecommons.org/licenses/by/4.0/
#
# Cite as:
#   John P. McCrae, Alexandre Rademaker, Francis Bond, Ewa Rudnicka and
#   Christiane Fellbaum (2019) "English WordNet 2019 - An Open-Source WordNet
#   for English." In Proceedings of the 10th Global WordNet Conference (GWC
#   2019), Wroclaw.
#
# CC BY 4.0 permits commercial use and redistribution provided attribution is
# given and changes are indicated. Changes made here: filtered to single-word
# lowercase noun lemmas; removed lemmas having any `physical entity` sense;
# annotated each remaining lemma with its immediate branch(es) under
# `abstraction`; no lexical content was altered.
# ---------------------------------------------------------------------------
#
# FORMAT: lemma<TAB>branches   (branches semicolon-separated when a lemma has
# senses in more than one branch)
#
# Branch counts (as sole branch):
#   attribute: 4983
#   event: 3738
#   psychological feature: 1707
#   communication: 1402
#   measure: 1029
#   group: 586
#   relation: 542
#   right: 8
#   absolute: 1
#   otherworld: 1
#   set: 1
#   (multi-branch lemmas: 2960)
#
# NOTE ON `group`: WordNet files collective nouns (crowd, committee, herd)
# under `abstraction`. 586 lemmas here are group-only and are arguably
# concrete. Filter with: awk -F'\t' '$2 !~ /group/' non-physical-nouns.tsv
#
lemma	branches
cacography	communication
cacophony	attribute;event
cadaster	communication
cadastre	communication
cadence	attribute;communication
cadency	attribute
cadenza	communication
cadetship	event
cadre	group
caduceus	psychological feature
caesarean	event
caesarian	event
caesura	communication;measure
caffeinism	attribute
cahoot	event
cajolery	communication
cakewalk	event;psychological feature
calamity	event
calculability	attribute
calculation	event;psychological feature
calefaction	attribute;measure
calendar	communication;group;psychological feature
caliber	attribute;measure
calibration	event
calibre	attribute;measure
calisthenics	event
callathump	communication;event;group
callback	event
calligraphy	communication
calling	event
callisthenics	event
callithump	communication;event;group
callosectomy	event
callosity	attribute;psychological feature
callosotomy	event
callousness	attribute
callowness	attribute
calming	event
calorie	measure
calorimetry	event
calque	communication
calumniation	communication
calumny	communication
calvary	event
calyx	attribute
camaraderie	attribute
camarilla	group
camelpox	attribute
campaign	event
campaigning	event
campana	attribute
campfire	event
camping	event
canalisation	event
canalization	event
canard	communication
canasta	event
cancan	event;psychological feature
cancel	communication
cancellation	communication;event
cancer	attribute
cancroid	attribute
candela	measure
candidacy	event
candidature	event
candidness	attribute
candlepins	event
candlepower	attribute
candor	attribute;psychological feature
candour	attribute;psychological feature
canebrake	group
canfield	event
canful	measure
canicule	measure
canker	attribute;psychological feature
cannibalism	event
cannonade	event
cannulation	event
cannulisation	event
cannulization	event
canonisation	event
canonization	event
cantata	communication;psychological feature
canter	event
canticle	communication;psychological feature
cantillation	event;psychological feature
canto	communication
canulation	event
canulisation	event
canulization	event
canvassing	event
capability	attribute;psychological feature
capableness	attribute;psychological feature
capaciousness	attribute;psychological feature
capful	measure
capitalisation	communication;event
capitalism	group
capitalization	communication;event
capitation	relation
capitula	event
capitulation	communication;event
capriccio	communication
caprice	attribute
capriciousness	attribute
capriole	event
capsizing	event
captaincy	event
captainship	event
caption	communication;event
captivation	attribute
captivity	attribute
carat	measure
caravanning	event
carcinoid	attribute
carcinoma	attribute
carcinosarcoma	attribute
cardinalate	event;group
cardinality	measure
cardinalship	event
cardiogram	communication
cardiography	event
cardioid	attribute
cardiology	psychological feature
cardiomegaly	psychological feature
cardiomyopathy	attribute
cardiopathy	attribute
cardiospasm	event
carditis	psychological feature
cards	event
care	attribute;event;psychological feature
careen	event
career	event
careerism	event
carefreeness	attribute
carefulness	attribute
carelessness	attribute;event
caress	event
caret	communication
carfare	relation
carful	measure
caricature	communication
caring	attribute
carioca	communication;event;psychological feature
carjacking	event
carload	group;measure
carmaker	group
carmine	attribute
carnage	event
carnality	attribute
carnival	event
carol	communication;event;psychological feature
caroling	event;psychological feature
carom	event
carotenemia	attribute
carousal	event
carouse	event
carpentry	event
carping	communication
carry	event
cartage	event
carte	communication
cartel	group
cartilaginification	attribute
carting	event
cartload	measure
cartography	event
cartonful	measure
carwash	event
casebook	communication
caseful	measure
casework	event
cash	measure;relation
cashcard	communication;relation
caskful	measure
cassino	event
caste	attribute;group
castigation	communication;event
castling	event
castration	event
casualness	attribute
casuistry	psychological feature
catacaustic	attribute
catachresis	communication
catalectic	communication
catalepsy	attribute
catalexis	communication
cataphasia	attribute
cataphatism	attribute;psychological feature
cataplasia	event
catarrh	psychological feature
catathymia	attribute
catatonia	attribute
catcall	communication
catching	event
catchphrase	communication;group
catchword	communication;relation
catechesis	event
categorem	communication;group
categoreme	communication;group
categorisation	event;group;psychological feature
categorization	event;group;psychological feature
category	group;psychological feature
catena	group
catenary	attribute
catering	event
caterwaul	event
catharsis	event
catheterisation	event
catheterization	event
cathexis	psychological feature
catholicity	attribute
catoptrics	psychological feature
cattie	measure
cattiness	attribute
catty	measure
caucus	event
causa	event
causalgia	psychological feature
causality	relation
causation	event
causerie	communication
causing	event
cauterisation	event
cauterization	event
caution	attribute;event;psychological feature
cautious	group
cautiousness	attribute
cavalcade	event;group
cavalry	group
caveat	communication;event
cavil	communication
caw	event
cc	measure
cd	measure
cease	measure
ceaselessness	attribute
cecity	attribute
cedi	measure
cedilla	communication
ceding	event
ceilidh	event;group
celebration	event;group
celerity	attribute
celibacy	attribute;event
celiocentesis	event
celioma	attribute
celioscopy	event
cellularity	attribute
cellulitis	psychological feature
censoring	event
censorship	event
censure	attribute;communication
census	event
cent	measure
cental	measure
centare	measure
centas	measure
centaur	psychological feature
centavo	measure
centenary	measure
centennial	measure
centering	event;psychological feature
centerline	attribute
centesimo	measure
centesis	event
centile	psychological feature
centiliter	measure
centilitre	measure
centime	measure
centimeter	measure
centimetre	measure
centimo	measure
centner	measure
centralisation	event
centralism	psychological feature
centrality	relation
centralization	event
centring	event;psychological feature
centrism	psychological feature
century	measure
cephalalgia	psychological feature
cephalhematoma	attribute
cephalitis	psychological feature
cephalohematoma	attribute
cephalometry	event
ceramics	event
cerebration	psychological feature
cerebromeningitis	attribute;psychological feature
ceremonial	event;group
ceremoniousness	attribute
ceremony	event;group
cerise	attribute
cerography	communication
ceroplastics	event
cert	attribute
certainty	attribute
certificate	communication
certification	communication;event
certiorari	communication
certitude	attribute
cerulean	attribute
cervicitis	psychological feature
cesarean	event
cesarian	event
cessation	event
cession	event
cgs	measure
ch'i	attribute
chafe	attribute;psychological feature
chafing	psychological feature
chagrin	attribute
chairmanship	event
chalazion	attribute
chaldron	measure
challenge	attribute;communication;event
champerty	event
championship	attribute;event
chancellorship	event
chancre	attribute
chancroid	attribute
chandelle	event
changeability	attribute
changeableness	attribute
changefulness	attribute
changelessness	attribute
changeover	event
channelisation	event
channelization	event
channels	event
chanoyu	event
chant	communication;psychological feature
chantey	communication
chanting	event;psychological feature
chanty	communication
chaparral	group
chaplaincy	event
chaplainship	event
chapter	communication;event;group;measure
characterisation	communication;event
characteristic	attribute;measure;psychological feature
characteristicness	attribute
characterization	communication;event;psychological feature
charade	event;relation
charades	event
chariness	attribute
charisma	attribute
charitableness	attribute
charivari	communication
charlatanism	event
charter	communication
chartreuse	attribute
chasse	event
chasteness	attribute
chastening	communication
chastisement	communication;event
chastity	attribute;event
chattel	relation
chatter	communication;event
chattering	event
chauvinism	attribute;event
chaw	measure
cheapness	attribute
cheating	event
checkbook	communication
checkers	event
checklist	communication
checkmate	event
checksum	psychological feature
checkup	event
cheekiness	attribute
cheep	event
cheer	attribute;communication
cheerfulness	attribute
cheering	communication
cheerio	communication
cheerlessness	attribute
cheesing	event
cheilitis	psychological feature
cheiloschisis	attribute
cheiloscopy	event
cheilosis	attribute
cheloid	psychological feature
chemoimmunology	psychological feature
chemosis	attribute;psychological feature
chemosurgery	event
chemotherapy	event
cheque	communication
chequebook	communication
chetrum	measure
chew	event;measure
chewing	event
chi	attribute;communication
chiasmus	communication
chic	attribute
chicanery	event
chickenfeed	measure
chickenpox	attribute
chickenshit	communication
chicness	attribute
chiding	communication
chieftaincy	event
chieftainship	event
chilblain	attribute
chilblains	attribute
childcare	event
childhood	attribute;measure
childishness	attribute
childlessness	attribute
chiliad	measure
chiliasm	psychological feature
chiller	event
chimera	psychological feature
chipping	event
chiralgia	psychological feature
chirography	communication
chirology	psychological feature
chiromancy	psychological feature
chiropody	psychological feature
chiropractic	event
chirp	event
chirpiness	attribute
chirrup	event
chitchat	communication
chivalry	attribute;psychological feature
chivaree	communication
chloasma	psychological feature
chlorinity	measure
chlorosis	attribute
choice	event;psychological feature
choiceness	attribute
chokehold	attribute;event
choking	attribute;event
cholangiography	event
cholangitis	psychological feature
cholecystectomy	event
cholecystitis	psychological feature
cholelithiasis	attribute
cholelithotomy	event
cholera	attribute
cholestasis	attribute
chomping	event
chon	measure
chondrodystrophy	attribute
chondroma	attribute
chondrosarcoma	attribute
choral	communication;psychological feature
chorale	communication;psychological feature
chord	attribute;communication
chorditis	psychological feature
chore	event
chorea	attribute
choriomeningitis	attribute
chorioretinitis	psychological feature
chortle	communication
chorus	communication;event;group
chrestomathy	communication
christening	event
chroma	attribute
chromaesthesia	psychological feature
chromaticity	attribute
chromatism	attribute
chromatogram	communication
chromesthesia	psychological feature
chromolithography	communication
chronicle	communication
chronology	communication;psychological feature;relation
chrysotherapy	event
chubbiness	attribute
chuckle	communication
chug	event
chukker	psychological feature
chumminess	attribute
chunk	group;measure
chunking	psychological feature
chutzpa	attribute
chutzpah	attribute
chyloderma	attribute
ciao	communication
cicatrice	psychological feature
cicatrix	psychological feature
cicero	measure
cinematography	event
cinque	measure
circuitousness	attribute
circular	communication
circularisation	event
circularity	attribute
circularization	event
circumcision	event
circumduction	event
circumflex	communication
circumlocution	communication
circumnavigation	event
circumscription	event
circumspection	attribute;psychological feature
circumstance	attribute;event;group;psychological feature
circumstances	attribute;relation
circumvention	event
circumvolution	event
cirrhosis	attribute
cistron	group
citation	communication;event
cite	communication
citizenry	group
citizenship	attribute
civics	psychological feature
civility	attribute;event
cl	measure
clade	group
cladistics	psychological feature
cladogram	attribute
claim	communication;event;right
clairvoyance	communication
clamber	event
clamminess	attribute
clamor	communication;event
clamoring	communication
clamour	communication
clamouring	communication
clampdown	event
clams	measure
clan	group
clang	event
clanger	event
clangor	event
clangoring	event
clangour	event
clank	event
clannishness	event
clap	attribute;event
clapping	communication
claptrap	communication
claque	group
clarification	communication;event
clarity	attribute
clash	attribute;event
class	attribute;event;group
classical	communication;psychological feature
classicalism	attribute;psychological feature
classicism	attribute;psychological feature
classics	psychological feature
classification	event;group;psychological feature
classified	communication
classwork	event
clatter	event
claudication	attribute
clause	communication;group
claustrophobia	attribute
clavus	psychological feature
clawback	event
clawfoot	attribute
clayeyness	attribute
clayiness	attribute
clayishness	attribute
clean	event
cleaning	event
cleanliness	attribute;event
cleanness	attribute
cleansing	event
cleanup	event;relation
clearance	event;relation
clearcutness	attribute
clearness	attribute
clef	communication
cleistogamy	event
clench	attribute;event
clergy	group
clericalism	psychological feature
clerihew	communication
clerisy	group
clerking	event
clerkship	event
cleverness	attribute;psychological feature
clew	communication;group
cliche	communication
clientage	relation
clientele	group
cliffhanger	event
climacteric	attribute
climate	attribute
climatology	psychological feature
climax	attribute;communication;event;measure
climbing	event
clime	attribute
clinocephalism	attribute
clinocephaly	attribute
clinodactyly	attribute
clipping	communication;event
clique	group
cliquishness	event
clitic	relation
clitoridectomy	event
clobber	relation
clocking	measure
cloning	event
clonus	event
clop	event
clopping	event
close	communication;event;measure
closedown	event
closeness	attribute;relation
closeout	attribute
closing	communication;event
clot	group
cloture	communication
cloudlessness	attribute
clowder	group
clowning	communication;event
clubbing	psychological feature
clubfoot	attribute
cluck	event
clucking	event
clue	communication
clump	event;group
clumping	event
clumsiness	attribute;psychological feature
clunk	event
clunking	event
cluster	group
clusterfuck	attribute
clustering	group
clutches	event
clutter	attribute;communication;event
clyster	event
cm	measure
coaching	event
coaction	event
coagulum	group
coalescence	event
coalescency	event
coalition	attribute;event;group
coarctation	attribute;event
coarseness	attribute;communication
coaxing	communication
cobbling	event
coccidiosis	attribute
cockatrice	psychological feature
cockcrow	psychological feature
cockfight	event
cockfighting	event
cockiness	attribute
cockney	communication
cocksureness	attribute
cockup	event
cocooning	event
coda	communication
code	communication
codex	communication
codicil	communication
codification	communication;event
coding	event
codon	group
codswallop	communication
coeducation	event
coefficient	measure
coercion	event
coevals	group
coexistence	attribute
coextension	attribute;measure
cogency	attribute;relation
cogitation	psychological feature
cognation	relation
cognisance	psychological feature
cognition	psychological feature
cognizance	psychological feature
cognomen	relation
cohabitation	event
coherence	attribute
coherency	attribute
cohesiveness	attribute
cohort	group
coin	measure
coinage	event;measure;relation
coincidence	attribute;event;relation
coinsurance	relation
coldheartedness	attribute
colic	psychological feature
colitis	psychological feature
collaboration	event
collaborationism	event
collapse	attribute;event
collateral	relation
collect	event
collectibility	attribute
collecting	event
collective	group
collectivisation	event
collectivism	group;psychological feature
collectivization	event
colligation	attribute;psychological feature
collimation	event
collision	event
collocation	event;relation
colloquialism	communication
colloquium	event
colloquy	communication
collotype	communication
collusion	event;psychological feature
collywobbles	attribute
colonialism	event
colonic	event
colonisation	event
colonization	event
colonoscopy	event
coloration	attribute;event
colorcast	event
colorimetry	event
colorlessness	attribute
colostomy	event
colouration	attribute;event
colourcast	event
colourlessness	attribute
colpitis	psychological feature
colpocele	attribute
colpocystitis	psychological feature
colpocystocele	attribute
colpoxerosis	attribute
columella	attribute
columniation	relation
comatoseness	attribute
combat	event
combativeness	attribute
combination	event;group
combing	event
combining	event
combo	group
combustibility	attribute
combustibleness	attribute
comeback	event
comedo	attribute
comedown	event
comedy	communication
comeliness	attribute
comeupance	event
comeuppance	event
comfortableness	attribute
comforts	relation
comicality	attribute
coming	attribute;event
comity	attribute
command	attribute;communication;event;group
commandership	event
commandery	event
commandment	event;psychological feature
commemoration	communication;event;group
commencement	event;group;measure
commendation	communication
commensalism	relation
commensurateness	relation
comment	communication;event
commentary	communication
commerce	communication;event
commercial	communication
commercialisation	event
commercialism	event
commercialization	event
commination	communication;event
commiseration	attribute;communication
commission	attribute;communication;event;group;relation
commissioning	event
commitment	attribute;communication;event
committal	event
committedness	attribute
committee	group
commixture	event
commodiousness	attribute
commonage	relation
commonality	attribute;group
commonalty	group
commonness	attribute
commonplace	communication
commonplaceness	attribute
commonweal	attribute
commotion	attribute;event
communalism	event
communicating	event
communication	communication;event;relation
communications	psychological feature
communicativeness	attribute
communion	event;group
communique	communication
communisation	event
communism	group;psychological feature
communization	event
commutability	attribute
commutation	communication;event
commute	event
commuting	event
comp	event
compaction	event
compactness	attribute;relation
companionability	attribute
companionableness	attribute
companionship	attribute
comparability	attribute
comparative	relation
compare	attribute
comparing	event
comparison	attribute;event;relation
compartmentalisation	attribute;event
compartmentalization	attribute;event
compassion	attribute
compassionateness	attribute
compatibility	attribute
competence	attribute
competency	attribute
competitiveness	attribute
compiling	event
complacence	attribute
complacency	attribute
complaint	attribute;communication;event
complaisance	attribute
complementarity	relation
complementary	attribute
complementation	relation
completeness	attribute
completion	event
complexion	attribute;group;psychological feature
complexity	attribute
complexness	attribute
compliance	attribute;event
compliancy	attribute
complicatedness	attribute
complication	attribute;event
complicity	attribute
compliment	communication
complimentariness	attribute
compliments	communication
complin	psychological feature
compline	psychological feature
comportment	attribute
composedness	attribute
composing	event;relation
compositeness	attribute
composure	attribute
compounding	event
comprehensibility	attribute
comprehension	psychological feature;relation
comprehensive	event
comprehensiveness	attribute;psychological feature
compressibility	attribute
compressing	event
compression	event
compromise	communication;event
comptrollership	event
compulsion	event;psychological feature
compulsiveness	attribute
compulsivity	attribute
compunction	attribute
computation	event;psychological feature
computerization	event
computing	event;psychological feature
comradeliness	attribute
comradery	attribute
comradeship	attribute
concatenation	attribute;event;group;relation
concaveness	attribute
concavity	attribute
concealing	event
conceding	event
conceit	attribute;communication
conceitedness	attribute
conceivability	attribute
conceivableness	attribute
concentration	attribute;event;psychological feature;relation
concentricity	attribute
concept	psychological feature
conceptualisation	event;psychological feature
conceptualism	psychological feature
conceptuality	psychological feature
conceptualization	event;psychological feature
concern	attribute;group;psychological feature
concert	event
concerto	communication;psychological feature
concession	communication;event
conchoid	attribute
conchology	event;psychological feature
conciliation	attribute;communication;event
conciseness	communication
concision	communication
conclave	event
conclusion	communication;event;measure;psychological feature
conclusiveness	attribute
concomitance	attribute
concomitant	event
concord	attribute;event;relation
concordance	attribute;communication;event
concordat	communication
concreteness	attribute
concretism	psychological feature
concubinage	event
concupiscence	attribute
concurrence	attribute;event
concurrency	event
concussion	event
condemnation	attribute;communication;event
condensing	event
condescendingness	attribute
condescension	attribute;communication;event
condition	attribute;communication;event;psychological feature
conditionality	attribute
conditioning	psychological feature
condolence	communication
condonation	event
conduct	attribute;event
conducting	event
confab	communication
confabulation	communication;psychological feature
confederacy	communication;group
confederation	attribute;event;group
conference	communication;event;group
conferment	event
conferral	event
confession	communication;event;psychological feature
confidence	attribute;communication
confidentiality	attribute;psychological feature
configuration	attribute;psychological feature
configurationism	psychological feature
confines	attribute
confirmation	communication;event;psychological feature
confiscation	event
conflagration	event
conflict	attribute;event;relation
conflux	event
conformance	attribute
conformism	psychological feature
conformity	attribute;event;psychological feature
confrontation	event
confusedness	attribute
confusion	attribute;event
confutation	event;psychological feature
conga	communication;event;psychological feature
congeniality	attribute
congenialness	attribute
congeries	group
congestion	attribute;psychological feature
congius	measure
conglobation	attribute;event
conglomeration	attribute;event;group
congratulation	event
congratulations	communication
congregating	event
congregation	event;group
congress	event;group
congruence	attribute
congruity	attribute
congruousness	attribute
conic	attribute
conjecture	communication;psychological feature
conjunctive	relation
conjunctivitis	psychological feature
conjuncture	event
conjuration	communication;event;psychological feature
conjuring	psychological feature
conjury	psychological feature
connectedness	attribute;relation
connectivity	attribute
conniption	attribute
connivance	communication;event
connoisseurship	psychological feature
connotation	communication;psychological feature
conoid	attribute
conquering	event
conquest	event
consanguinity	relation
conscience	attribute;psychological feature
conscientiousness	attribute
consciousness	attribute;psychological feature
conscription	event
consecration	event
consensus	attribute
consent	communication
conservancy	event;group
conservation	event;psychological feature
conservatism	psychological feature
conservativism	psychological feature
considerateness	attribute
consideration	attribute;event;psychological feature;relation
consistence	attribute
consistency	attribute
consistory	group
consolation	attribute;event
consonance	attribute;communication
consonant	communication;relation
consortium	group
conspectus	communication
conspicuousness	attribute
conspiracy	communication;group;psychological feature
constabulary	group
constancy	attribute;psychological feature
constant	measure;psychological feature
constatation	psychological feature
consternation	attribute
constipation	event;psychological feature
constituency	group
constitution	attribute;communication;event
constitutional	event
constitutionalism	group;psychological feature
constriction	attribute;event;psychological feature
construal	communication
construct	psychological feature
constructiveness	attribute
constructivism	group
consubstantiation	psychological feature
consuetude	event
consulship	event
consultancy	event
consultation	communication;event
consumerism	event;psychological feature
consummation	event
contagion	attribute;communication;event
contagiousness	attribute
containerful	measure
contemplation	event;psychological feature
contemplativeness	attribute
contemporaneity	attribute
contemporaneousness	attribute
contemporaries	group
contemporariness	attribute
contempt	attribute;communication;event
contemptibility	attribute
contemptuousness	event
contentedness	attribute
contention	communication;event
contentiousness	attribute
contentment	attribute
contents	communication;group
contest	event
contestation	event
context	attribute;relation
contextualism	psychological feature
contiguity	relation
contiguousness	relation
continence	attribute
continency	attribute
contingence	event
contingency	attribute;event
contingent	group
continuance	attribute;event;measure
continuant	relation
continuation	attribute;communication;event;psychological feature
continuative	relation
continuity	attribute;communication
continuo	communication
continuousness	attribute
continuum	attribute
conto	measure
contortion	attribute;event
contour	attribute;communication;psychological feature
contraception	event
contract	communication;event
contractility	attribute
contracting	event
contraction	event;relation
contracture	event
contradance	event;psychological feature
contradiction	communication;relation
contradictoriness	relation
contradictory	relation
contradistinction	psychological feature
contraindication	psychological feature
contrariety	relation
contrariness	attribute
contrary	relation
contrast	attribute;event;psychological feature;relation
contravention	event
contredanse	event;psychological feature
contretemps	event
contribution	event;relation
contriteness	attribute
contrition	attribute
controllership	event
controversy	event
contumacy	event
contumely	communication
contusion	attribute;event
conundrum	communication
conveniences	relation
convening	event
convention	attribute;communication;event;psychological feature
conventionalisation	event
conventionalism	attribute
conventionality	attribute;psychological feature
conventionalization	event
convergence	event;psychological feature;relation
convergency	event;relation
converging	event
conversance	psychological feature
conversancy	psychological feature
conversation	communication
converse	communication
convertibility	attribute
convexity	attribute
convexness	attribute
conveyancing	event
conveying	event
conviction	event;psychological feature
convincingness	attribute
conviviality	attribute;event
convocation	event;group
convoy	event;group
convulsion	attribute;event
coo	event
cookery	event
cooking	event
cooperation	event
cooperative	group
cooperativeness	attribute
coordinate	measure
coordination	attribute;event;psychological feature;relation
copartnership	group
copeck	measure
copiousness	attribute
copout	event
coppice	group
coprolalia	attribute
copse	group
copula	relation
copulative	relation
copyhold	right
copying	event
copyright	communication;right
coquetry	event
cordiality	attribute
corditis	psychological feature
cordoba	measure
coreference	relation
corkage	relation
cornhusking	event;group
cornucopia	attribute;psychological feature
corolla	attribute
corollary	event;psychological feature
coronach	communication
coronary	attribute;event
coronation	event;group
coronavirus	attribute
corp	group
corporality	attribute
corporatism	attribute
corporeality	attribute
corps	group
corpulence	attribute
corpulency	attribute
correction	attribute;communication;event;measure
corrections	event;group
correctitude	attribute
correctness	attribute
correlate	psychological feature
correlation	psychological feature;relation
correlative	psychological feature
correlativity	relation
correspondence	attribute;communication;relation
corrigenda	communication
corrigendum	communication
corroboration	communication
corrugation	attribute;event
corruptibility	attribute
corruptness	attribute
cortege	event;group
coruscation	event;psychological feature
corvee	event
coryza	psychological feature
cosec	relation
cosecant	relation
cosine	relation
cosiness	attribute
cosmetology	event
cosmogeny	psychological feature
cosmogony	psychological feature
cosmolatry	event
cosmology	psychological feature
cosmopolitanity	attribute
coss	measure
cost	attribute;relation
costalgia	psychological feature
costiasis	attribute
costing	event
costliness	attribute
costochondritis	psychological feature
costs	relation
cotan	relation
cotangent	relation
coterie	group
cotilion	event;group;psychological feature
cotillion	event;group;psychological feature
cough	psychological feature
coughing	psychological feature
coulomb	measure
council	event;group
councillorship	event
councilorship	event
counseling	communication
counselling	communication
counsellorship	event
counselorship	event
countdown	event
counteraction	event
counterargument	communication
counterattack	event
counterattraction	event
counterblast	event
counterblow	event
counterbombardment	event
countercharge	communication;event
countercheck	attribute;psychological feature
counterclaim	event
countercoup	event
counterculture	psychological feature
counterdemonstration	event
counterespionage	event
counterevidence	communication
counterexample	psychological feature
counterfactuality	attribute
counterfire	event
counterfoil	communication
counterinsurgency	event
counterintelligence	event
countermand	event
countermarch	event
countermeasure	event
countermine	event
countermove	event
counteroffensive	event
counteroffer	communication
counterplan	psychological feature
counterplay	event
counterplea	communication
counterplot	psychological feature
counterpoint	communication
counterproject	psychological feature
counterproposal	communication
counterpunch	event
counterreformation	attribute
counterrevolution	event
countershot	event
countersign	communication;relation
countersignature	relation
countersubversion	event
countersuit	event
counterterrorism	psychological feature
counting	event
countlessness	attribute
countryfolk	group
countryseat	relation
counts/minute	relation
coup	event
couplet	communication;measure
coupon	communication;psychological feature
courage	attribute
courageousness	attribute
courante	event;psychological feature
coursework	event
coursing	event
courtesy	attribute;communication;event
courting	event
courtliness	attribute
courtship	event
couth	attribute
couture	event
couvade	event
covalence	attribute
covalency	attribute
covariance	psychological feature
coven	group
covenant	communication
coverage	attribute;communication;relation
covertness	attribute
covetousness	attribute;event
covey	group
cowardice	attribute
cowardliness	attribute
cowpox	attribute
coyness	attribute
cozenage	event
coziness	attribute
cps	relation
crabbedness	attribute
crabbiness	attribute
crabs	attribute
crackdown	event
cradlesong	communication;event
craftiness	attribute;psychological feature
craftsmanship	psychological feature
cran	measure
craniology	psychological feature
craniometry	psychological feature
craniotomy	event
crankiness	attribute
crapette	event
craps	event;measure
crapshoot	event
crapulence	event
crash	event
crassitude	attribute
crassness	attribute
crateful	measure
cravenness	attribute
craving	attribute
crawl	event
crawling	event
craze	attribute;psychological feature
craziness	attribute;event;psychological feature
creak	event
creaking	event
creaminess	attribute
creationism	psychological feature
creativeness	psychological feature
creativity	psychological feature
cred	attribute
credendum	psychological feature
credential	communication
credentials	communication
credibility	attribute
credibleness	attribute
credit	communication;event;psychological feature;relation
credits	communication
creditworthiness	attribute
credo	psychological feature
credulity	attribute
credulousness	attribute
creed	psychological feature
creepiness	psychological feature
creeping	event
creeps	attribute
cremation	event
crenation	attribute
crenature	attribute
creole	communication
crepitation	event
crepuscle	psychological feature
crepuscule	psychological feature
crescendo	attribute
crescent	attribute
cretinism	attribute
crew	group
cribbage	event
crick	psychological feature
crime	event
criminalisation	event
criminalism	attribute
criminality	attribute
criminalization	event
criminalness	attribute
criminology	psychological feature
crimson	attribute
cringe	attribute;communication
crinkle	attribute
crisis	attribute;event
crispiness	attribute
crispness	attribute;communication
crit	event
criterion	measure;psychological feature
criterium	event
crith	measure
criticality	attribute
criticalness	attribute
criticism	communication;psychological feature
critique	communication;psychological feature
croak	communication
croaking	communication
cronyism	event
crookedness	attribute
crooning	event;psychological feature
croquet	event
crore	measure
crosier	communication
crossbones	psychological feature
crosscheck	event;psychological feature
crossfire	communication;event
crosshairs	psychological feature
crossheading	communication
crossness	attribute
crossroads	attribute;group;psychological feature
crosstalk	event
crotchetiness	attribute
crouch	event
crowd	group
crowdfunding	event
crowding	attribute
crowdsourcing	event
crowing	event
crozier	communication
cruciality	attribute
crucifixion	event
crudeness	attribute
crudity	attribute
cruelness	attribute
cruelty	attribute;event
cruise	event
crumbliness	attribute
crunch	attribute;event
crusade	event
crushing	event
crux	communication
cry	communication;event
cryaesthesia	attribute
cryesthesia	attribute
cryoanaesthesia	attribute
cryoanesthesia	attribute
cryobiology	psychological feature
cryogenics	psychological feature
cryogeny	psychological feature
cryonics	psychological feature
cryopathy	attribute
cryophobia	attribute
cryosurgery	event
cryptanalysis	psychological feature
cryptanalytics	psychological feature
cryptobiosis	attribute
cryptocurrency	measure
cryptogram	communication
cryptography	event;psychological feature
cryptology	psychological feature
cryptorchidism	attribute
cryptorchidy	attribute
cryptorchism	attribute
crystallinity	attribute
crystallography	psychological feature
csardas	communication
cubicity	attribute
cubism	group
cubit	measure
cuboid	attribute
cuckoldom	attribute
cuckoldry	event
cucurbit	group
cuddle	event
cuisine	event
culdoscopy	event
cull	psychological feature
culpability	attribute
culpableness	attribute
cult	attribute;group;psychological feature
culteranismo	group
cultism	event
culturati	group
cultus	attribute;psychological feature
cumbersomeness	attribute
cumulation	group
cunctation	event
cuneiform	communication
cuneus	attribute
cunning	attribute;psychological feature
cupful	measure
cupid	psychological feature
cupidity	attribute
cupping	event
curability	attribute
curableness	attribute
curacy	event
curatorship	event
curettage	event
curettement	event
curfew	communication;measure
curie	measure
curiousness	attribute
curlicue	attribute;communication
curliness	attribute
curling	event
currency	attribute;measure
currentness	attribute
curriculum	communication
curse	communication;event
cursive	communication
curtailment	attribute;event
curtness	attribute
curtsey	communication;event
curtsy	communication;event
curvaceousness	attribute
curvature	attribute;psychological feature
curvet	event
cussedness	attribute
custodianship	event
custody	attribute;event
custom	event;psychological feature;relation
customariness	attribute
customs	relation
cutback	event
cuteness	attribute
cutlet	measure
cwt	measure
cyan	attribute
cyanosis	psychological feature
cybercrime	event
cyberculture	psychological feature
cybernation	event
cybernetics	psychological feature
cyberphobia	attribute
cybersex	attribute
cyberwar	event
cycles/second	relation
cyclicity	attribute
cycling	event
cycloid	attribute
cyclopia	attribute
cyclothymia	attribute
cylindricality	attribute
cylindricalness	attribute
cynicism	attribute
